2,asia stocks up in new year trad,"HONG KONG: Asian markets started 2015 on an upswing in limited trading on Friday, with mainland Chinese stocks surging in Hong Kong on speculation Beijing may ease monetary policy to boost slowing growth.Hong Kong rose 1.07 percent, closing 252.78 points higher at 23857.82.Seoul closed up 0.57 percent, rising 10.85 points to 1,926.44, while Sydney gained 0.46 percent, or 24.89 points, to close at 5,435.9.Singapore edged up 0.19 percent, gaining 6.39 points to 3,371.54.Markets in mainland China, Japan, Taiwan, New Zealand, the Philippines, and Thailand remained closed for holidays.With mainland bourses shut until January 5, shares in Chinese developers and financial companies surged in Hong Kong, stoked by hopes that Beijing could ease monetary policy to support lagging growth in the world´s second-largest economy.China Vanke, the country´s biggest developer by sales, leapt 10.8 percent and the People´s Insurance Company (Group) of China Ltd. was up 5.51 percent in afternoon trading.Train-builders CSR Corp. and China CNR Corp. soared -- CSR by 16.5 percent and China CNR by 16.0 percent -- extending gains on December 31 after they announced a merger agreement.China´s manufacturing growth dropped in December to its lowest level of 2014, an official survey showed Thursday, as the sector struggles with weak domestic demand.China´s official Purchasing Managers´ Index (PMI) released by the National Bureau of Statistics (NBS) came in at 50.1 last month, down from 50.3 recorded in November.The index, which tracks activity in factories and workshops, is considered a key indicator of the health of China´s economy, a major driver of global growth. A figure above 50 signals expansion, while anything below indicates contraction.Growth momentum is still insufficient, NBS said in a statement. - Investors eye US factory data -On forex markets the dollar extended gains ahead of the release of American factory data due later on Friday and following a steady stream of good news from the world´s biggest economy.The dollar bought 120.44 yen, compared to 119.44 yen in final 2014 trading on Wednesday.Wall Street toasted a banner year in 2014, with US equity markets finishing near all-time highs.The euro meanwhile slipped amid growing expectations that the European Central Bank, which meets on January 22, will start buying sovereign bonds. The single currency bought $1.2061 compared to $1.2160 in pre-holiday trade.The ECB has already used several tools to push inflation in member nations back up to the 2.0 percent annual rate it regards as healthy, including asset purchases and making cheap loans available to banks.It is also examining the possibility of large-scale purchases of sovereign debt -- so-called quantitative easing (QE) -- to help jump-start the European Union´s moribund economy.Oil prices rose on Friday, with US benchmark West Texas Intermediate for February delivery rising 44 cents to $54.07 and Brent crude for February gaining 18 cents to $57.51.The gains in Asian trading are likely because of the positive US crude stockpiles data released on Wednesday, Daniel Ang, investment analyst at Phillip Futures in Singapore, told AFP.US crude reserves fell by 1.8 million barrels in the week to December 26, the US Energy Information Administration said in its last petroleum report for 2014 released on Wednesday, boosting prices that lost nearly half their value in the second half of the year.There is growing speculation that the slide in global oil prices -- the biggest since the financial crisis in 2008 -- may have been excessive.If we do see some supply-side responses, or even if they´re anticipated over the course of this first quarter of the year, we might find that oil has in fact bottomed, Michael McCarthy, a chief strategist at CMC Markets in Sydney, told Bloomberg.Gold was at $1,182.36 an ounce, compared with $1,199.00 in end-of-year trading on Wednesday.In other markets:-- Jakarta ended up 0.30 percent, or 15.82 points, at 5,242.77.Coal firm Indo Tambangraya Megah gained 3.41 percent to 15,900 rupiah, while miner Aneka Tambang slipped 1.88 percent to 1,045 rupiah.-- Malaysia´s main stock index shed 0.48 percent, or 8.48 points, to close at 1,752.77.Malayan Banking lost 0.55 percent to 9.12 ringgit, Public Bank slipped 0.44 percent to 18.22 while Top Globe added 1.77 percent 4.60 ringgit.-- Singapore rose 0.16 percent, or 5.44 points, to 3,370.59.Agribusiness company Wilmar International gained 0.93 percent to Sg$3.27 while real estate developer Capitaland dipped 0.30 percent to Sg$3.30.-- Mumbai gained 1.38 percent, or 380.36 points, to end at 27,887.90.Housing Development Finance Corp rose 4.30 percent to 1,171.80 rupees, while Mahindra & Mahindra fell 0.92 percent to 1,224.80 rupees. (AFP)",1/2/2015,2,business,2024-06-22 08:26:41.377286+07,,
4,asian stocks sink euro near nine year,"HONG KONG: Asian markets tumbled Tuesday following painful losses in New York and Europe while the euro sat near nine-year lows as political uncertainty in Greece fanned renewed fears it could leave the eurozone.Oil prices, which fell below the psychological $50 a barrel mark in US trade, edged up marginally but remained under pressure owing to a global supply glut, weak demand and a stronger dollar.Tokyo tumbled 2.50 percent, Hong Kong lost 0.89 percent, Sydney eased 1.67 percent, Seoul was 1.30 percent lower while Shanghai reversed earlier losses to gain 0.70 percent.The first full week of the new year got off to a traumatic start for dealers as they bet a January 25 general election in Greece will see a victory for the the left-wing Syriza party.Markets fear the party will roll back austerity measures required under the IMF-EU bailout of the country, which could in turn lead it to exit the eurozone.The year is barely three trading days old and already the two biggest themes that were predicted to affect the markets this year are making headlines: oversupply of commodities and the eurozone, Evan Lucas, a markets strategist in Melbourne at IG Ltd., wrote in an email to clients, according to Bloomberg News.At the weekend, Der Spiegel quoted German government sources as saying they consider Greece´s exit almost inevitable if Syriza wins the snap poll.Chancellor Angela Merkel and finance minister Wolfgang Schaeuble had come to consider Athens´ removal from the bloc would be manageable, the magazine said.However, investors were spooked and on Monday Greek stocks sank more than 5 percent, while the Paris, Madrid and Milan exchanges fell more than 3 percent.- Oil below $50 a barrel -The Dow dived 1.86 percent, the S&P 500 fell 1.83 percent and the Nasdaq lost 1.57 percent.In currency trade the euro sank to $1.1864 Monday, its lowest level since March 2006. On Tuesday morning the single currency recovered slightly buying $1.1943.The euro was meanwhile at 142.58 yen against 142.74 yen in US trade and well down from the 144.58 yen Friday.Adding to downward pressure is increased speculation that the European Central Bank will buy eurozone government bonds to counter deflation risks.The dollar was at 119.40 yen early Tuesday, compared with 119.61 in New York Monday and also well down from 120.46 yen Friday.Oil prices were marginally up Tuesday after slipping below $50 for the first time in more than five years in New York.US benchmark West Texas Intermediate for February delivery rose eight cents to $50.12 while Brent crude for February gained 14 cents to $53.25. WTI tapped $49.95 Monday.The cost of crude has plunged since June as supplies outstrip demand with key consumer China slowing down, the eurozone struggling and the dollar, in which it is priced, strengthening.A decision late last year by the Organization of the Petroleum Exporting Countries (OPEC) to maintain output despite the glut has also cut into prices.The fundamentals of oil are unlikely to change in the first half of this year, which will see oil bedding down into its bear market for months to come, IG´s Lucas said.Gold was at $1,203.59.40 an ounce, compared with $1,196.40 on Monday. (AFP)",1/6/2015,4,business,2024-06-22 08:26:41.377286+07,,
13,oil market rebounds on iea repor,"London: World oil prices rebounded Friday after the International Energy Agency declared there were signs the tide will turn following recent multi-year lows.In early afternoon London deals, Brent North Sea crude for delivery in March rallied $1.41 to trade at $49.68 per barrel. US benchmark West Texas Intermediate for February gained $1.09 at $47.34.How low the market´s floor will be is anyone´s guess, the Paris-based IEA energy watchdog said in a monthly report published on Friday.A price recovery -- barring any major disruption -- may not be imminent, but signs are mounting that the tide will turn.Crude futures have more than halved since June, crashing on stubborn worries over global oversupply and weak demand in a faltering world economy.The IEA cautioned Friday that prices were expected to keep falling in the short-term.The IEA have hedged their bets somewhat by saying the tide may turn, noted CMC Markets analyst Michael Hewson.He added that the market is very oversold and was probably due a rebound.European benchmark Brent had tumbled Tuesday to $45.19 per barrel, hitting the lowest level since March 2009.The IEA added Friday that the dramatic collapse in oil prices was still insufficient to stimulate crude consumption, because weakness in the economy has cancelled out the benefits of cheaper crude.The agency maintained its oil demand forecast for 2015, expecting it to grow by 0.9 million barrels a day to reach 93.3 million barrels.The oil market rebounded Friday after plunging the previous day on news that the Organization of Petroleum Exporting Countries had overproduced in December, while it also cut its global demand outlook.The 12-nation OPEC cartel, which produces about one third of global supplies, said in a monthly report Thursday that its production rose to 30.2 million barrels a day in December, above its 30 million limit.It also projected that demand for its oil would fall to 28.8 million barrels per day this year from 29.1 million in 2014.The yo-yo effect of the crude oil prices can be attributed to the uncertainty in the market, said Shailaja Nair, associate editorial director at energy information provider Platts, pointing to an unstable dollar and an irregular equity market.OPEC has just forecasted a drop in demand for its oil this year and this could mean that the price rally we saw this week is unlikely to last, she said.Despite the global supply glut, OPEC decided in November to maintain its collective output ceiling at 30 million barrels of oil per day.Cartel kingpin Saudi Arabia has stated that OPEC will not cut production even if the price drops to $20 per barrel, in a move aimed at hurting US shale oil producers. (AFP)",1/16/2015,13,business,2024-06-22 08:26:41.377286+07,,
21,euro maintains gains asia stocks adv,"Hong Kong: The euro extended its gains against the dollar Tuesday while Asian equities climbed on hopes Greece´s new government will be able to negotiate a bailout deal with the EU and IMF that will avoid it leaving the eurozone.Regional investors took their lead from advances in Europe and New York, where news of Sunday´s Greek election win for anti-austerity party Syriza had been largely factored in, analysts said.Tokyo jumped 1.44 percent by lunch, Sydney added 0.67 percent, Shanghai edged up 0.10 percent, Seoul rose 0.46 percent and Hong Kong was flat.Markets have been buoyed by rhetoric coming out of Athens and its creditors that raises hopes they two sides can reach an agreement over Greece´s repayment of its 240-billion-euro bailout.Syriza had campaigned on renegotiating terms of the lifeline -- which included swingeing spending cuts and painful tax hikes -- and there are concerns it will default on its repayments, leading to its possible exit from the eurozone.But International Monetary Fund head Christine Lagarde said she was prepared to continue its financial support to the country, while some European finance ministers suggested they were willing to talk, as long as Syriza did not demand its debt be wiped out.The messages coming out of Europe helped shares higher. In Europe, equities in London, Paris and Germany all closed with healthy gains, although Athens lost more than three percent.Dow edged 0.03 percent higher, the S&P 500 added 0.26 percent and the Nasdaq put on 0.29 percent.The Greek elections had the potential to unnerve the market, Nader Naeimi, at AMP Capital Investors in Sydney, told Bloomberg News.It´s quite encouraging that the new government and the EU are willing to negotiate. The market is in a risk-on mode.The euro plunged to as low as $1.1098 at one point in Asia Monday, the lowest level since September 2003, before recovering later in the day to close out in New York at $1.1234.On Tuesday in Asia it bought $1.1250.It also sank to 131.55 yen Monday in Asia before bouncing to end the day at 133.12 yen. It bought 133.31 yen in Tokyo Tuesday.The dollar edged up to 118.47 yen from 118.49 yen in US trade.Oil prices edged up slightly after falling to fresh six-year lows Monday, despite a warning from the OPEC cartel that prices could punch $200 owing to shrinking investment in exploration.US benchmark West Texas Intermediate for March delivery rose five cents to $45.20 while Brent crude for March gained 13 cents to $48.29.Gold fetched $1,276.39 an ounce, against $1,281.39 late Monday. (AFP)",1/27/2015,21,business,2024-06-22 08:26:41.377286+07,,
22,oil rebounds sharply from six year lows as dollar,"New York: Oil prices rebounded Tuesday from six-year lows as the dollar weakened after disappointing US economic data.The US benchmark, West Texas Intermediate (WTI) for March delivery, rose $1.08 (2.4 percent) to close at $45.16 a barrel.Brent North Sea crude for March settled at $49.60 a barrel in London, up $1.44 from Monday´s closing level.The market has found a bottom in the mid-40 range, said Kyle Cooper of IAF Advisors.Crude futures sank Monday to their lowest closing levels since early 2009. Crude has shed nearly 60 percent of its value in an almost uninterrupted slide since June due to a supply glut, largely boosted by robust US shale-oil production and weaker global economic growth.The greenback has been strengthening for months, making dollar-priced oil relatively more expensive, adding to the pressure on the oil market.A slight easing in the dollar Tuesday against major rival currencies such as the euro, yen and pound underpinned the buying, Cooper said.I didn´t see anything bullish today for WTI, he said. Equities are down, durable goods (are) not that good.New orders for long-lasting US industrial goods unexpectedly fell in December, by a steep 3.4 percent, signaling some persistent weakness in the manufacturing sector.Saudi Aramco, the world´s largest oil company in terms of crude production and exports, acknowledged that prices have fallen too far but it was up to the market, not OPEC producers, to shore them up.It´s too low for everybody, said Khalid al-Falih, the president of the state-owned energy giant, told a conference in Riyadh. I think even consumers start to suffer in the long term.Falih also said US shale-oil production is important for the world´s long-term energy future and Saudi Aramco has earmarked an additional $7 billion for its own shale projects.The kingdom is the leading exporter and top producer in the Organization of the Petroleum Exporting Countries, which provides about a third of global oil supplies.In November, OPEC resisted calls to reduce output in the face of falling prices, keeping its output ceiling at 30 million barrels per day in a decision that exacerbated the global price slump. (AFP)",1/28/2015,22,business,2024-06-22 08:26:41.377286+07,,
27,oil prices slide after rally,"London: Global oil prices slid Wednesday following a three-day rally as dealers were divided on whether the commodity has bottomed out after a plunge of nearly 60 percent since June. US benchmark West Texas Intermediate (WTI) for delivery in March shed $1.72 to stand at $51.33 a barrel compared with Tuesday´s close.Brent North Sea crude for March slid $1.15 a barrel to trade at $56.76 in London afternoon trade.WTI had soared $3.48 Tuesday to record its highest finish since December 31, while Brent jumped $3.16 to a similar closing peak, as dealers cheered signs that the oil industry is tightening exploration activities to cap a supply glut.Ken Hasegawa, an energy trading manager at Newedge Group in Tokyo, said the crude market was extremely volatile after the three-day rally that began Friday saw prices surge nearly 20 percent.It has become increasingly difficult to discern the direction of the prices of crude oil, but the fundamentals remain unchanged, Hasegawa told AFP. He added that prices could fluctuate by increasing up to $10 and falling up to $10 in the short term.Deep cuts in capital spending by major oil companies, including new announcements Tuesday by BP and BG Group, had suggested there would be tighter supplies in the future. The Baker Hughes North America rig count report for the week to January 30 showed a drop of 128 rigs to 1,937. That compared with 2,393 a year ago.Some analysts however remain doubtful that the current oil price rebound will be sustained as supplies still outweigh demand in the immediate term.The oil market has lost more than half its value since June largely owing to a surge in global reserves boosted by robust US shale oil production. The problem was exacerbated in November after OPEC decided to maintain output levels despite plunging prices.The 12-nation Organization of Petroleum Exporting Countries (OPEC) cartel pumps about 30 percent of global crude supplies. (AFP)",2/4/2015,27,business,2024-06-22 08:26:41.377286+07,,
83,dollar pressured after fed tempers interest rate,"Tokyo: The dollar struggled to recover Thursday after diving on comments from the US Federal Reserve that cooled expectations of an early summer interest rate hike.In Tokyo, the greenback briefly fell below 120 yen before ticking up to 120.22 yen by midday, well down from 121.35 yen level in Tokyo before the US central bank´s announcement. The euro changed hands at $1.0809 and 129.92 yen, down from $1.0871 and 130.54 yen in New York but still well above $1.0595 and 128.57 yen in Asia on Wednesday.While the US central bank opened the door for a rise from six years of zero percent rates, it lowered its forecasts for economic growth and inflation and stressed it would remain cautious before making any move.It´s fair to say we now have somewhat stronger doubt that Fed rates ´lift-off´ will begin a early as June, than we did heading into the FOMC (Federal Open Market Committee) meeting, National Australia Bank said.The key takeaway is that (Fed chief Janet) Yellen has successfully established in the market´s mind the data, rather than date, dependency of Fed policy.After a two-day meeting, the Fed on Wednesday issued a statement that removed a pledge to remain patient on raising interest rates, signalling a possible mid-year rate increase.However Yellen stressed growth prospects were more muted than three months ago, despite strong increases in jobs creation. She noted consumer spending has slipped, inflation has declined, wages are flat, and the stronger dollar has hurt US exports.The policy committee lowered its rate outlook to 0.5-0.75 percent for the end of this year from 1.0 percent previously, while also reducing its 2016 forecast to 1.75-2.5 percent from 2.5 percent. Just because we removed the word patient from the statement doesn´t mean we´re going to be impatient, Yellen told reporters.Markets have been focusing on the Fed´s timing for a rate hike -- a plus for the dollar -- with Yellen´s comments giving much-needed relief for the euro, which has been hammered by the European Central Bank´s new stimulus programme.While some analysts pegged the dollar to fall further, loose monetary policy in major economies was likely to stem its losses, said Sebastien Galy, a senior currency strategist at Societe Generale.The dollar will resume its uptrend vs G10 in the next few weeks driven by the pressure of negative interest rates elsewhere, he wrote in an e-mail, according to Bloomberg News. (AFP)",3/19/2015,83,business,2024-06-22 08:26:41.377286+07,,
95,Oil ends 2015 down 35 per,"NEW YORK/LONDON: Oil prices rose on Thursday but fell as much as 35 percent for the year after a race to pump by Middle East crude producers and U.S. shale oil drillers created an unprecedented global glut that may take through 2016 to clear.Global oil benchmark Brent and U.S. crude's West Texas Intermediate (WTI) futures rose between 1 and 2 percent on the day on short-covering and buying support in a thinly traded market ahead of the New Year holiday.But for 2015, both benchmarks fell double-digits for a second straight year as Saudi Arabia and other members of the once-powerful Organization of the Petroleum Exporting Countries (OPEC) again failed to boost oil prices.The U.S. shale industry, meanwhile, surprised the world again with its ability to survive rock-bottom crude prices, churning out more supply than expected, even as the sell-off in oil slashed by two-thirds the number of drilling rigs in the country from a year ago.The United States also took a historic move in repealing a 40-year ban on U.S. crude exports to countries outside Canada, acknowledging the industry's growth.You do have to tip your hat to the U.S. shale industry and their ongoing ability to drive down costs and hang in there, albeit by their fingernails, said John Kilduff, a partner at Again Capital, an energy hedge fund in New York.Brent crude settled up 82 cents at $37.28 a barrel, rebounding from a near 11-year low of $36.10 hit earlier in the session. For the month, it was down 16 percent and for the year, it fell 35 percent. In 2014, Brent lost 48 percent.WTI rose 44 cents to $37.04 a barrel. It slid 11 percent in December and 30 percent for the year, after a 46 percent loss in 2014.The immediate outlook for oil prices remains bleak. Goldman Sachs has said prices as low as $20 per barrel might be necessary to push enough production out of business and allow a rebalancing of the market.Adding to oil's woes, floods across the Midwestern United States were threatening refineries and pipelines from Illinois to Louisiana, potentially swelling the glut of domestic crude at a time when stockpiles were already at record highs.A mild winter so far in the Northern Hemisphere due to the El Niño weather phenomenon has also slashed demand for heating oil. U.S. heating oil prices fell 40 percent for a second year in a row.We have brimming oil inventories in Europe, Bjarne Schieldrop, chief commodity analyst at SEB in Oslo, said. And our predictions are that oil inventories in Asia are going to get closer to saturation in the first quarter.Morgan Stanley said in its outlook for next year that headwinds (are) growing for 2016 oil.The bank cited ongoing increases in available global supplies, despite some cuts by U.S. shale drillers. The hope for a rebalancing in 2016 continues to suffer serious setbacks, it said.INDUSTRY PAINBrent prices briefly hit a 2004 bottom below $36 a barrel last week, effectively wiping out gains from a decade-long commodity super-cycle sparked by China's once-inexorable growth and energy demand boom.The downturn in oil has caused pain across the energy supply chain, including to shippers, private oil drillers and oil-dependent countries from Venezuela and Russia to the Middle East.Analysts estimate global crude production exceeds demand anywhere between half a million and 2 million barrels a day. This means even the most aggressive estimates of expected U.S. production cuts of 500,000 bpd for 2016 would be unlikely to fully rebalance the market.Oil began falling in mid-2014 as surging output from OPEC, Russia and U.S. shale producers outpaced demand. The downturn accelerated at the end of 2014 after a Saudi-led OPEC decision to keep production high to defend global market share rather than cut output to support prices.OPEC failed to agree on any production targets at its Dec. 4 meeting in Vienna, cementing its decision to protect market share, as the world braces for the return of Iranian crude exports to the market after the lifting of Western sanctions against Tehran.Russia is also showing no signs of reining in production, prompting traders, hedge fund managers and other speculators to establish record high active short positions in the market that would profit from further crude price falls.",1/1/2016,95,business,2024-06-22 08:26:41.377286+07,,
119,Modi launches 15 bln fund to support start u,"NEW DELHI: Indian Prime Minister Narendra Modi launched a number of initiatives on Saturday to support the country´s start-ups, including a 100 billion rupee ($1.5 billion) fund and a string of tax breaks for both the companies and their investors.India, which already has a handful of new generation success stories, is seeking to encourage more cutting edge technology and other start-ups - supporting new businesses in a country which badly needs to accelerate a still sluggish economic recovery and create millions of jobs as the workforce expands.Modi´s high-profile event in New Delhi - attended by hundreds of investors and entrepreneurs, including the founder of taxi-hailing app Uber, Travis Kalanick - promised a shot in the arm for the sector, with exemptions from tax and compliance inspections for three years.I urge all entrepreneurs to create companies that solve India´s problems and create jobs, he told a packed auditorium in New Delhi, speaking in Hindi.Start-up does not mean a billion dollar company where thousands of people work. It is about employing even 5 people, and developing India.Online companies such as e-commerce marketplaces Flipkart and Snapdeal, along with ride-sharing company Ola, have highlighted the potential for home-grown technology successes in a country best known for capitalising on cheap engineering talent as the world´s back office.However, the push by Modi´s government is the first time Indian policymakers have announced an agenda directly aimed at promoting start-ups and entrepreneurship.Modi unveiled plans for a new 100 billion rupee fund: a structured fund of funds that will invest in venture capital funds over a period of four years, financed by the government and the state-owned Life Insurance Corporation (LIC).He also said start-up companies would benefit from cheaper and faster patent applications, enjoying 80 percent rebates on the cost of patents.A mobile app would allow companies to be set up within a day, he promised.Moreover, they will be exempt from income tax for the first three years in which they make a profit.Their investors could also benefit: recognised funds of funds could see exemptions<br/>from capital gains tax, Modi said.The announcements, at a government-organised conference on start-ups in New Delhi, come months after Modi made a whirlwind tour of Silicon Valley, meeting the chief executives of Facebook Inc, Google Inc and Apple Inc.India, with a rapidly expanding population of Internet users, is seen as one of the world´s fastest growing start-up hotspots.Venture capital funds including Sequoia and Tiger Global have raised multi-billion dollar funds for their Indian investments in recent years.The National Association of Software and Services Companies estimates the number of new companies launched in India grew by 40 percent in the last year.Earlier on Saturday, Japan´s Softbank said it would seriously accelerate investments in India, comparing the growth in India´s internet economy to China a decade ago.Softbank had previously said it would invest $10 billion in India over 10 years.WeWork, a New York-based provider of shared office space, used the conference to announce its Indian launch plans.",1/16/2016,119,business,2024-06-22 08:26:41.377286+07,,
124,Oil slides to lowest since 2003 as Iran sanctions are lifted,"SINGAPORE: Oil prices hit their lowest since 2003 on Monday, as the market braced for a jump in Iranian exports after the lifting of sanctions against the country at the weekend.The UN nuclear watchdog on Saturday said Tehran had met its commitments to curtail its nuclear programme, and the United States immediately revoked sanctions that had slashed the OPEC member's oil exports by around 2 million barrels per day (bpd) since their pre-sanctions 2011 peak to little more than 1 million bpd.Iran is now free to sell as much oil as it wants to whomever it likes at whatever price it can get, said Richard Nephew, program director for Economic Statecraft, Sanctions and Energy Markets at Columbia University's Center on Global Energy Policy.Iran is ready to increase its crude exports by 500,000 bpd, its deputy oil minister said on Sunday.In what traders described as a knee-jerk reaction, international Brent crude fell to $27.67 a barrel early on Monday, its lowest since 2003, before recovering to $28.56 by 0208 GMT, still down over 1 percent from its settlement on Friday.US crude was down 27 cents at $29.15 a barrel, after hitting a 2003-low of $28.36 earlier in the session.The lifting of sanctions on Iran should see further downward pressure on oil ... in the short term, ANZ said on Monday.Iran's likely strategy in offering discounts to entice customers could see further downward pressure on prices in the near term, the bank added.Trading data shows that short positions in US crude markets, which would profit from further price falls, have hit a fresh record despite steep recent drops.While this could trigger sudden price jumps once traders close positions to cash in from further drops, it also indicates that many market participants think there is still more downside to prices.Iran's potential new exports come at a time when global markets are already reeling from chronic oversupply as producers pump a million barrels or more of crude every day in excess of demand, pulling down crude prices by over 75 percent since mid-2014 and by over a quarter since the start of 2016.And although analysts expect Iran to take some time before being able to fully revive its export infrastructure, suffering from years of underinvestment during the sanctions, it does have at least a dozen Very Large Crude Carrier super-tankers filled and in place to sell into the market.The oil price rout is also hurting stock markets, with Asian shares set to slide to near their 2011 troughs on Monday, stoking further worries about a global economic downturn.Growth keeps slowing ... Lower commodity prices, including oil, partly reflect weakening demand itself. In addition, the downturn in mining capex and the declining income of commodity producers is weighing on exports from Asia, said Frederic Neumann, co-head of Asian Economics Research at HSBC, Hong Kong.",1/18/2016,124,business,2024-06-22 08:26:41.377286+07,,
